file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_5_2_2_0~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999999,0.999999
automaton_5_2_2_0~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_1~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_1~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999878,0.999878
automaton_5_2_2_1~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999985,0.999985
automaton_5_2_2_1~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999939,0.999939
automaton_5_2_2_1~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_1~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999939,0.999939
automaton_5_2_2_1~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999756,0.999756
automaton_5_2_2_1~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_1~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999878,0.999878
automaton_5_2_2_1~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999985,0.999985
automaton_5_2_2_2~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
