file,TP,TN,FP,FN,BCR,N,train_pos,train_neg,eval_pos,eval_neg,seconds
automaton_5_2_2_0~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_0~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_0~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_0~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_0~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_0~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.016
automaton_5_2_2_0~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_0~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_0~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.016
automaton_5_2_2_1~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_1~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_1~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_1~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_1~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.023
automaton_5_2_2_1~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_1~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.020
automaton_5_2_2_1~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_1~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.021
automaton_5_2_2_1~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.020
automaton_5_2_2_2~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_2~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_2~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_2~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.020
automaton_5_2_2_2~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_2~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_2~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_2~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_2~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_2~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_3~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_3~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.028
automaton_5_2_2_3~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_3~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_3~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_3~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_3~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_3~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_3~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_3~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.027
automaton_5_2_2_4~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.035
automaton_5_2_2_4~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.033
automaton_5_2_2_4~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.039
automaton_5_2_2_4~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.044
automaton_5_2_2_4~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.045
automaton_5_2_2_4~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.048
automaton_5_2_2_4~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.035
automaton_5_2_2_4~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.038
automaton_5_2_2_4~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.037
automaton_5_2_2_4~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.036
automaton_5_2_2_5~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.023
automaton_5_2_2_5~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.024
automaton_5_2_2_5~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.022
automaton_5_2_2_5~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.024
automaton_5_2_2_5~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.023
